"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000032028",1066.88288492141,3.18414564789203,0.279380225350758,11.3971761741347,4.31901680474612e-30,6.97218882790166e-26
"ENSMUSG00000075420",820.669879684838,1.60699768036677,0.153883483052049,10.4429510464305,1.57826649720834e-25,1.27389780322171e-21
"ENSMUSG00000059534",1403.64305867262,1.14520805768226,0.130822314147575,8.75391988854746,2.06067397995922e-18,1.10884866861606e-14
"ENSMUSG00000062638",214.857843121647,4.83137033675839,0.631745552835234,7.64765231045238,2.04681741643247e-14,6.60835471069388e-11
"ENSMUSG00000001930",1197.80321905753,-1.25273010944776,0.164654849709094,-7.60821871728064,2.77899277370093e-14,7.47688005764235e-11
"ENSMUSG00000100510",542.261829929883,-1.38308458413259,0.187781789578695,-7.36538184685353,1.76640516207312e-13,3.56438481641829e-10
"ENSMUSG00000041445",455.630339861763,-1.06589342152718,0.146305408100491,-7.28540000923999,3.2071727118394e-13,5.75259878746927e-10
"ENSMUSG00000023247",3570.68194294501,2.88618776770358,0.399497438654356,7.22454636361437,5.0277731378214e-13,7.37848561489553e-10
"ENSMUSG00000021213",1676.8853742823,1.24614210816353,0.172241096119211,7.23487098166779,4.65971903039973e-13,7.37848561489553e-10
"ENSMUSG00000091542",179.458761101991,-1.54413363897315,0.229767920523099,-6.72040568351629,1.81219303150443e-11,1.95028214050507e-08
"ENSMUSG00000021236",2615.58855745062,1.02749573936063,0.15269374688278,6.7291278152302,1.70683076208438e-11,1.95028214050507e-08
"ENSMUSG00000021904",288.489125029229,-1.07030818991387,0.16238969095437,-6.59098606336171,4.36914904254614e-11,4.40819831211389e-08
"ENSMUSG00000030711",1414.64660470846,1.81207284344713,0.277509531350433,6.52976794933536,6.58716674054679e-11,5.90759070514705e-08
"ENSMUSG00000047793",877.830696377897,-1.4042228169417,0.21545813456242,-6.51738129912602,7.15453959591763e-11,6.07872277352097e-08
"ENSMUSG00000028262",494.05212299333,-3.0394011894796,0.468880409999841,-6.48225245640063,9.03632693461313e-11,7.29367128527299e-08
"ENSMUSG00000035811",222.096903637255,2.47687918839679,0.385922256348008,6.41807811717198,1.38005441278198e-10,9.28259099397477e-08
"ENSMUSG00000024059",267.548907034334,-1.07197705203586,0.16792320003704,-6.38373406294908,1.72821111518478e-10,1.11594048129712e-07
"ENSMUSG00000078377",51.4316443147649,8.91312667779386,1.40103822158535,6.36180122745557,1.99401387486769e-10,1.23805253776881e-07
"ENSMUSG00000028179",558.504626384801,1.37354584616618,0.218204173343414,6.29477349181797,3.07849054293651e-10,1.65653576115414e-07
"ENSMUSG00000026398",806.219304491809,1.0152892815061,0.163285714102534,6.21786962249836,5.03950008445354e-10,2.54227030822917e-07
"ENSMUSG00000029260",3941.73931456286,1.29302082151676,0.210417769739196,6.14501723461572,7.99548328471858e-10,3.79620843132976e-07
"ENSMUSG00000036560",314.967006457383,-1.31694418849693,0.2145367205222,-6.1385490805088,8.32785839448755e-10,3.84104623034893e-07
"ENSMUSG00000039865",760.836965151627,1.18716628208719,0.195618268006416,6.06879047742237,1.28877148294352e-09,5.47490474977824e-07
"ENSMUSG00000059970",441.539860831831,-1.33734925794306,0.22225434268545,-6.01720192183501,1.77457670999221e-09,7.16174795735106e-07
"ENSMUSG00000001227",252.605501991954,-1.47625302628291,0.247190224753701,-5.9721335168243,2.34170755549037e-09,8.77847262373508e-07
"ENSMUSG00000078670",960.005323381788,1.02115044651548,0.170975501671179,5.97249568817968,2.33651323405929e-09,8.77847262373508e-07
"ENSMUSG00000026365",2346.11963049016,-1.20284555488011,0.204480816298968,-5.8824371725974,4.04268816894447e-09,1.33185949206675e-06
"ENSMUSG00000101249",235.262712925018,11.3544381069918,1.93856754079429,5.85712794011787,4.70940326240987e-09,1.52047793730165e-06
"ENSMUSG00000031871",613.383225465538,-1.04593475165152,0.179264395888401,-5.83459278942738,5.39220938823969e-09,1.67396992604526e-06
"ENSMUSG00000071551",1164.67617908644,2.549326660834,0.437592784703303,5.82579683657832,5.68407304626109e-09,1.73128285256213e-06
"ENSMUSG00000063882",2625.25095067114,1.16036394490989,0.201032887659203,5.77201053231138,7.83312187353094e-09,2.29909248008018e-06
"ENSMUSG00000030793",1920.72734332874,1.32434898232045,0.229717133406324,5.7651293252817,8.15952484556738e-09,2.35212874253561e-06
"ENSMUSG00000041268",337.828643770982,-1.03861469022165,0.181862330766717,-5.71099405711415,1.12318168789738e-08,2.87801936313134e-06
"ENSMUSG00000020581",9257.81792009381,1.33168834143618,0.233157017645275,5.71155161824127,1.11950729488961e-08,2.87801936313134e-06
"ENSMUSG00000047215",9183.01523840944,1.04330796945381,0.184196227473045,5.66411149547833,1.47788293009635e-08,3.61476729402203e-06
"ENSMUSG00000071528",989.891021877258,1.01121408932428,0.179161270095833,5.64415561903183,1.65993881939309e-08,3.94064593550921e-06
"ENSMUSG00000023057",624.767799913278,5.46991531604321,0.971619622861563,5.62968798420673,1.80535911608964e-08,4.16588961802071e-06
"ENSMUSG00000095649",6415.62649174712,2.15678015688199,0.384611931570415,5.60767875316713,2.05058183729342e-08,4.66232994358137e-06
"ENSMUSG00000020072",254.599576554425,1.4256568791479,0.254793210001616,5.5953487894707,2.20178674369417e-08,4.93658936159097e-06
"ENSMUSG00000039131",1896.65816636056,1.11061386047268,0.199029729818958,5.58014052213666,2.40324347946199e-08,5.2426431741831e-06
"ENSMUSG00000047945",1427.92250073244,-1.14417416504512,0.205406963248839,-5.57027934665979,2.54331228209879e-08,5.47422535598943e-06
"ENSMUSG00000044156",1575.38450281026,1.12274846310974,0.204667664684155,5.48571492640216,4.11800532183001e-08,8.30961998878773e-06
"ENSMUSG00000033191",562.766533051018,-1.01916381038715,0.185962059125091,-5.48049325320491,4.24141691649898e-08,8.3499016198833e-06
"ENSMUSG00000031173",49.4771029517086,7.13186487214746,1.31502386754598,5.42337295022373,5.84847889711277e-08,1.08519534294358e-05
"ENSMUSG00000070661",749.860907498578,1.68128019629848,0.311475986859938,5.39778431476487,6.74689056988712e-08,1.21016727188542e-05
"ENSMUSG00000042429",360.536107116382,-1.57166558133655,0.292551077002295,-5.37227754360386,7.77483165931109e-08,1.34956029544364e-05
"ENSMUSG00000021290",1348.70717244879,1.0415949389532,0.194433645128241,5.35707149997729,8.45816555486697e-08,1.43726491107597e-05
"ENSMUSG00000027296",89.1983573053255,2.17607289471594,0.412152357829456,5.27977786218653,1.29340597570456e-07,2.13055639446925e-05
"ENSMUSG00000023039",1612.98811651154,1.25245694594685,0.237631796983638,5.27057810379259,1.35994740488523e-07,2.1805604015067e-05
"ENSMUSG00000090124",2712.70768130322,1.02912341634844,0.195279824270331,5.26999356023488,1.36428545222187e-07,2.1805604015067e-05
"ENSMUSG00000103711",819.106291979321,1.28802155891544,0.247437882418933,5.20543397124096,1.9354375861122e-07,3.00420855313551e-05
"ENSMUSG00000025716",35.3247292226973,3.03653059123034,0.58541094889602,5.18700683162262,2.13700894518473e-07,3.22408742075861e-05
"ENSMUSG00000038717",1887.0874488538,1.00884523050416,0.194603781030034,5.18409881434144,2.17061834832273e-07,3.24447148120128e-05
"ENSMUSG00000094840",990.689873430172,1.98368600284712,0.384060393885058,5.16503663077741,2.40391840350152e-07,3.56022520988303e-05
"ENSMUSG00000042099",255.661739943713,-1.03662296905236,0.201064686749059,-5.15566898301802,2.52727008630862e-07,3.67547036065587e-05
"ENSMUSG00000052485",711.99595475489,1.14685174386078,0.222882459821188,5.14554507690227,2.66745137415803e-07,3.81067854274629e-05
"ENSMUSG00000020275",960.191926938878,-1.66813144573907,0.324644173796964,-5.13833784918725,2.77179220125608e-07,3.92500364077868e-05
"ENSMUSG00000039911",508.17654590271,-1.3308428273471,0.260584866501888,-5.10713782121135,3.27075193603426e-07,4.48593420640968e-05
"ENSMUSG00000060961",2610.47528951122,2.04500293801482,0.401139642357307,5.09798265261771,3.43292269370675e-07,4.65694714659732e-05
"ENSMUSG00000028544",851.773152231145,-1.74628746127357,0.342881986284267,-5.09296939217392,3.52498623303159e-07,4.74198772998574e-05
"ENSMUSG00000074218",117.72262871331,1.56896095737322,0.309773446081885,5.06486587929969,4.08687984082203e-07,5.3205242959992e-05
"ENSMUSG00000040322",3731.55901206453,1.02330092169692,0.204771435947857,4.99728351740181,5.81435532881862e-07,7.22008754408608e-05
"ENSMUSG00000062410",569.136832109591,2.98214202254367,0.598435298224318,4.98323215791633,6.25308499863149e-07,7.68926259078423e-05
"ENSMUSG00000025902",88.3919863259318,-1.64752954968174,0.330874521146346,-4.97931827441327,6.38086348790407e-07,7.74483302896507e-05
"ENSMUSG00000049971",254.286789019322,1.1078901986131,0.224465721282643,4.93567655801694,7.98733846993459e-07,9.27623056979526e-05
"ENSMUSG00000004328",220.052914446955,-1.37013532589504,0.27791399091566,-4.93006962830756,8.22003139508959e-07,9.47828334363795e-05
